C|                                           |                                           |             |                                           |     
L|                                      Input|                                 ACC/Result|  Instruction|                                      Value|     
K|         #|                             BIN|         #|                             BIN|  CMD|   OpCd|         #|                             BIN|Error
-|----------|--------------------------------|----------|--------------------------------|-----|-------|----------|--------------------------------|-----
1|4294967295|11111111111111111111111111111111|         x|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|Reset|   1000|         0|00000000000000000000000000000000|0
0|4294967295|11111111111111111111111111111111|         x|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|Reset|   1000|         0|00000000000000000000000000000000|0
1|4294967295|11111111111111111111111111111111|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
0|4294967295|11111111111111111111111111111111|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
1|4294967295|11111111111111111111111111111111|         0|00000000000000000000000000000000|ADD  |   0001|4294967295|11111111111111111111111111111111|0
0|4294967295|11111111111111111111111111111111|         0|00000000000000000000000000000000|ADD  |   0001|4294967295|11111111111111111111111111111111|0
1|4294967295|11111111111111111111111111111111|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
0|         1|00000000000000000000000000000001|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
1|         1|00000000000000000000000000000001|4294967295|11111111111111111111111111111111|ADD  |   0001|         0|00000000000000000000000000000000|1
0|         1|00000000000000000000000000000001|4294967295|11111111111111111111111111111111|ADD  |   0001|         0|00000000000000000000000000000000|1
1|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|ERROR|   1111|         0|00000000000000000000000000000000|1
0|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|ERROR|   1111|         0|00000000000000000000000000000000|1
1|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
0|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
1|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|SUB  |   0010|4294967295|11111111111111111111111111111111|1
0|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|SUB  |   0010|4294967295|11111111111111111111111111111111|1
1|         1|00000000000000000000000000000001|4294967295|11111111111111111111111111111111|ERROR|   1111|         0|00000000000000000000000000000000|1
0|         1|00000000000000000000000000000001|4294967295|11111111111111111111111111111111|ERROR|   1111|         0|00000000000000000000000000000000|1
1|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
0|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
1|         1|00000000000000000000000000000001|         0|00000000000000000000000000000000|SUB  |   0010|4294967295|11111111111111111111111111111111|1
0|         2|00000000000000000000000000000010|         0|00000000000000000000000000000000|SUB  |   0010|4294967294|11111111111111111111111111111110|1
1|         2|00000000000000000000000000000010|4294967294|11111111111111111111111111111110|Reset|   1000|         0|00000000000000000000000000000000|0
0|         2|00000000000000000000000000000010|4294967294|11111111111111111111111111111110|Reset|   1000|         0|00000000000000000000000000000000|0
1|         2|00000000000000000000000000000010|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
0|         2|00000000000000000000000000000010|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
1|         2|00000000000000000000000000000010|         0|00000000000000000000000000000000|ADD  |   0001|         2|00000000000000000000000000000010|0
0|         2|00000000000000000000000000000010|         0|00000000000000000000000000000000|ADD  |   0001|         2|00000000000000000000000000000010|0
1|         2|00000000000000000000000000000010|         2|00000000000000000000000000000010|No-Op|   0000|         2|00000000000000000000000000000010|0
0|         4|00000000000000000000000000000100|         2|00000000000000000000000000000010|No-Op|   0000|         2|00000000000000000000000000000010|0
1|         4|00000000000000000000000000000100|         2|00000000000000000000000000000010|MULT |   0111|         8|00000000000000000000000000001000|0
0|         4|00000000000000000000000000000100|         2|00000000000000000000000000000010|MULT |   0111|         8|00000000000000000000000000001000|0
1|         4|00000000000000000000000000000100|         8|00000000000000000000000000001000|No-Op|   0000|         8|00000000000000000000000000001000|0
0|         4|00000000000000000000000000000100|         8|00000000000000000000000000001000|No-Op|   0000|         8|00000000000000000000000000001000|0
1|         4|00000000000000000000000000000100|         8|00000000000000000000000000001000|SUB  |   0010|         4|00000000000000000000000000000100|0
0|         4|00000000000000000000000000000100|         8|00000000000000000000000000001000|SUB  |   0010|         4|00000000000000000000000000000100|0
1|         4|00000000000000000000000000000100|         4|00000000000000000000000000000100|No-Op|   0000|         4|00000000000000000000000000000100|0
0|   7340036|00000000011100000000000000000100|         4|00000000000000000000000000000100|No-Op|   0000|         4|00000000000000000000000000000100|0
1|   7340036|00000000011100000000000000000100|         4|00000000000000000000000000000100|AND  |   0011|         4|00000000000000000000000000000100|0
0|   7340036|00000000011100000000000000000100|         4|00000000000000000000000000000100|AND  |   0011|         4|00000000000000000000000000000100|0
1|   7340036|00000000011100000000000000000100|         4|00000000000000000000000000000100|No-Op|   0000|         4|00000000000000000000000000000100|0
0|       244|00000000000000000000000011110100|         4|00000000000000000000000000000100|No-Op|   0000|         4|00000000000000000000000000000100|0
1|       244|00000000000000000000000011110100|         4|00000000000000000000000000000100|OR   |   0100|       244|00000000000000000000000011110100|0
0|       244|00000000000000000000000011110100|         4|00000000000000000000000000000100|OR   |   0100|       244|00000000000000000000000011110100|0
1|       244|00000000000000000000000011110100|       244|00000000000000000000000011110100|No-Op|   0000|       244|00000000000000000000000011110100|0
0|       244|00000000000000000000000011110100|       244|00000000000000000000000011110100|No-Op|   0000|       244|00000000000000000000000011110100|0
1|       244|00000000000000000000000011110100|       244|00000000000000000000000011110100|NOT  |   0101|4294967051|11111111111111111111111100001011|0
0|       244|00000000000000000000000011110100|       244|00000000000000000000000011110100|NOT  |   0101|4294967051|11111111111111111111111100001011|0
1|       244|00000000000000000000000011110100|4294967051|11111111111111111111111100001011|No-Op|   0000|4294967051|11111111111111111111111100001011|0
0|       244|00000000000000000000000011110100|4294967051|11111111111111111111111100001011|No-Op|   0000|4294967051|11111111111111111111111100001011|0
1|       244|00000000000000000000000011110100|4294967051|11111111111111111111111100001011|XOR  |   0110|4294967295|11111111111111111111111111111111|0
0|       244|00000000000000000000000011110100|4294967051|11111111111111111111111100001011|XOR  |   0110|4294967295|11111111111111111111111111111111|0
1|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
0|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
1|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
0|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
1|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
0|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|No-Op|   0000|4294967295|11111111111111111111111111111111|0
1|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|Reset|   1000|         0|00000000000000000000000000000000|0
0|       244|00000000000000000000000011110100|4294967295|11111111111111111111111111111111|Reset|   1000|         0|00000000000000000000000000000000|0
1|       244|00000000000000000000000011110100|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
0|        21|00000000000000000000000000010101|         0|00000000000000000000000000000000|Reset|   1000|         0|00000000000000000000000000000000|0
1|        21|00000000000000000000000000010101|         0|00000000000000000000000000000000|ADD  |   0001|        21|00000000000000000000000000010101|0
0|        21|00000000000000000000000000010101|         0|00000000000000000000000000000000|ADD  |   0001|        21|00000000000000000000000000010101|0
1|        21|00000000000000000000000000010101|        21|00000000000000000000000000010101|No-Op|   0000|        21|00000000000000000000000000010101|0
0|         3|00000000000000000000000000000011|        21|00000000000000000000000000010101|No-Op|   0000|        21|00000000000000000000000000010101|0
1|         3|00000000000000000000000000000011|        21|00000000000000000000000000010101|DIV  |   1001|         7|00000000000000000000000000000111|0
0|         3|00000000000000000000000000000011|        21|00000000000000000000000000010101|DIV  |   1001|         7|00000000000000000000000000000111|0
1|         3|00000000000000000000000000000011|         7|00000000000000000000000000000111|No-Op|   0000|         7|00000000000000000000000000000111|0
